,neighbourhood_cleansed,review_scores_cleanliness,review_scores_checkin,availability_60,host_total_listings_count,maximum_nights,review_scores_communication,beds,calculated_host_listings_count_entire_homes,review_scores_rating,number_of_reviews,bedrooms,calculated_host_listings_count_private_rooms,number_of_reviews_l30d,review_scores_value,availability_30,review_scores_location,availability_90,accommodates,host_listings_count,number_of_reviews_ltm,latitude,minimum_nights,availability_365,calculated_host_listings_count,price,review_scores_accuracy,longitude
17550,la Bordeta,4.71,4.71,47,2.0,365,4.43,1.0,0.0,4.43,7.0,1.0,1.0,0.0,4.5,17,4.8,77,2.0,1.0,7.0,41.37063816190842,1.0,257,1.0,78.0,4.86,2.1308333426713943
17551,la Marina de Port,4.605955597800259,4.717400013580498,59,1.0,180,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,29,4.742934066680247,89,1.0,1.0,0.0,41.3571,31.0,269,1.0,40.0,4.639845192829983,2.1343
17552,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,0,8.0,365,4.713566191446029,2.0,1.0,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,0,4.742934066680247,28,4.0,1.0,0.0,41.390867057490325,1.0,138,1.0,199.0,4.639845192829983,2.180093452334404
17553,Provençals del Poblenou,5.0,4.75,20,1.0,365,5.0,0.0,0.0,5.0,4.0,2.0,1.0,2.0,4.75,4,4.8,50,5.0,1.0,4.0,41.4110348,1.0,50,1.0,114.0,5.0,2.1984041
17554,el Raval,4.7,4.86,51,2.0,365,4.86,2.0,0.0,4.7,7.0,1.0,2.0,0.3,4.14,21,4.8,52,2.0,2.0,7.0,41.383178969726735,32.0,52,2.0,67.0,4.7,2.163907897853692
17555,Sant Gervasi - Galvany,4.605955597800259,4.717400013580498,59,7.0,364,4.713566191446029,3.0,6.0,4.587361346819633,0.0,1.5,0.0,0.0,4.450359179793591,29,4.742934066680247,89,3.0,6.0,0.0,41.39698,31.0,269,6.0,250.0,4.639845192829983,2.14572
17556,Navas,4.605955597800259,4.717400013580498,59,1.0,365,4.713566191446029,0.0,1.0,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,29,4.742934066680247,89,4.0,1.0,0.0,41.41395,31.0,269,1.0,93.0,4.639845192829983,2.18902
17557,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,0,1.0,90,4.713566191446029,0.0,1.0,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,0,4.742934066680247,0,3.0,1.0,0.0,41.38761295399623,31.0,114,1.0,64.0,4.639845192829983,2.179420616146863
17558,el Raval,4.67,5.0,10,9.0,20,5.0,0.0,3.0,4.67,3.0,2.0,0.0,2.0,5.0,9,4.8,40,4.0,3.0,3.0,41.38032607087973,3.0,40,3.0,161.0,4.33,2.166186580476499
17559,la Barceloneta,4.605955597800259,4.717400013580498,0,106.0,345,4.713566191446029,2.0,6.7,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,0,4.742934066680247,3,2.0,54.0,0.0,41.37887609227396,32.0,183,52.0,128.0,4.639845192829983,2.1916678831582344
17560,la Nova Esquerra de l'Eixample,4.65,4.59,55,24.0,365,4.8,1.0,0.0,4.47,17.0,1.0,5.0,2.0,4.06,25,4.82,85,2.0,14.0,17.0,41.385835530540575,1.0,163,5.0,70.0,4.59,2.1503063297451304
17561,Sants,4.5,4.8,41,4.0,365,4.5,1.0,2.0,4.5,2.0,2.0,0.0,2.0,4.0,20,4.8,71,4.0,2.0,2.0,41.38383,2.0,145,2.0,174.0,4.5,2.14166
17562,la Vila de Gràcia,4.45,4.91,34,4.0,365,5.0,1.0,2.0,4.73,11.0,1.0,0.0,0.3,4.36,4,4.91,64,2.0,2.0,11.0,41.40232587114461,2.0,154,2.0,144.0,4.91,2.16292069097396
17563,Sants - Badal,5.0,5.0,30,8.0,320,5.0,0.0,3.0,5.0,1.0,2.0,0.0,1.0,5.0,1,5.0,36,3.0,6.0,1.0,41.371712723316165,32.0,36,3.0,49.0,5.0,2.1300115496481733
17564,la Vila de Gràcia,5.0,5.0,15,1.0,365,5.0,0.0,1.0,4.5,4.0,1.0,0.0,0.0,4.5,5,5.0,45,4.0,1.0,4.0,41.407198078648605,3.0,135,1.0,125.0,5.0,2.1608024458242694
17565,el Clot,4.605955597800259,4.717400013580498,19,9.0,365,4.713566191446029,1.0,9.0,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,2,4.742934066680247,49,2.0,9.0,0.0,41.4100051,1.0,76,9.0,159.0,4.639845192829983,2.1924027
17566,la Sagrada Família,4.605955597800259,4.717400013580498,53,2.0,150,4.713566191446029,2.0,1.0,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,23,4.742934066680247,83,6.0,2.0,0.0,41.40474825446231,45.0,263,1.0,128.0,4.639845192829983,2.177749326213234
17567,el Raval,4.33,4.5,47,6.0,32,4.5,2.0,2.0,4.5,6.0,1.0,4.0,0.0,4.17,21,4.83,47,4.0,6.0,6.0,41.38393183548855,3.0,47,6.0,59.0,4.7,2.168207677907396
17568,la Marina de Port,4.33,4.89,44,6.0,365,4.78,1.0,0.0,4.56,9.0,1.0,3.0,2.0,4.44,14,4.67,74,2.0,3.0,9.0,41.359627,2.0,74,3.0,90.0,4.56,2.1356036
17569,el Barri Gòtic,4.22,4.8,54,30.0,365,4.8,1.0,0.0,4.7,9.0,1.0,0.7,1.0,4.5,24,4.56,84,1.0,18.0,9.0,41.38158617409494,2.0,265,17.0,42.0,4.7,2.1792651796760936
17570,el Barri Gòtic,4.7,4.8,55,30.0,365,4.8,0.0,0.0,4.7,3.0,1.0,0.7,1.0,4.5,25,4.67,85,3.0,18.0,3.0,41.38208543722634,3.0,266,17.0,74.0,4.7,2.177468502547946
17571,el Raval,4.21,4.8,29,4.0,365,4.5,1.0,0.0,4.21,14.0,1.0,3.0,0.3,4.5,4,4.8,59,2.0,3.0,14.0,41.37738776254932,2.0,154,3.0,69.0,4.7,2.169163934209064
17572,Sants - Badal,4.605955597800259,4.717400013580498,39,2.0,40,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,2.0,0.0,4.450359179793591,9,4.742934066680247,69,2.0,2.0,0.0,41.37587,32.0,70,2.0,40.0,4.639845192829983,2.2
17573,el Barri Gòtic,4.605955597800259,4.717400013580498,23,3.0,365,4.713566191446029,3.0,2.0,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,0,4.742934066680247,53,4.0,2.0,0.0,41.37999830968464,31.0,261,2.0,102.0,4.639845192829983,2.1789830178022385
17574,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,3,2.0,365,4.713566191446029,1.0,2.0,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,3,4.742934066680247,3,4.0,2.0,0.0,41.381415301304735,31.0,81,2.0,50.0,4.639845192829983,2.182950737779783
17575,la Verneda i la Pau,5.0,5.0,45,2.0,7,5.0,1.0,0.0,5.0,9.0,1.0,2.0,1.0,4.89,15,4.8,75,2.0,2.0,9.0,41.419774498626445,1.0,255,2.0,70.0,5.0,2.2042100285751283
17576,la Verneda i la Pau,5.0,4.8,51,2.0,365,4.67,0.0,0.0,4.67,6.0,2.0,2.0,0.0,4.5,21,4.8,81,1.0,2.0,6.0,41.41989,1.0,261,2.0,70.0,4.83,2.20449
17577,Sants,4.605955597800259,4.717400013580498,0,48.0,365,4.713566191446029,2.0,7.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,34.0,0.0,41.37579,31.0,0,32.0,128.0,4.639845192829983,2.13324
17578,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,27,51.0,365,4.713566191446029,1.0,6.7,4.587361346819633,0.0,0.0,0.0,0.0,4.450359179793591,3,4.742934066680247,57,2.0,51.0,0.0,41.3862724304,1.0,292,48.0,59.0,4.639845192829983,2.1811330318
17579,Sant Antoni,5.0,5.0,8,5.0,335,5.0,1.0,4.0,5.0,1.0,1.0,0.0,1.0,5.0,4,5.0,35,2.0,5.0,1.0,41.380248628715165,31.0,261,4.0,64.0,5.0,2.15808100328611
17580,el Barri Gòtic,4.6,4.8,52,30.0,365,4.8,2.0,0.0,4.2,5.0,1.0,0.7,1.0,4.6,22,5.0,82,3.0,18.0,5.0,41.38140071212621,3.0,263,17.0,102.0,4.8,2.177718011923994
17581,el Barri Gòtic,4.7,4.8,49,30.0,365,4.8,0.0,0.0,4.7,7.0,1.0,0.7,1.0,4.5,19,4.71,79,3.0,18.0,7.0,41.37982,3.0,259,17.0,69.0,4.7,2.17751
17582,el Poblenou,4.17,4.83,40,1.0,365,4.8,2.0,0.0,4.5,6.0,1.0,1.0,0.3,4.0,16,4.67,70,2.0,1.0,6.0,41.4053261,1.0,250,1.0,70.0,4.83,2.2030604
17583,el Raval,4.39,4.39,32,3.0,365,4.39,1.0,0.0,4.11,18.0,1.0,2.0,0.3,4.5,6,4.8,32,2.0,2.0,18.0,41.37777,2.0,126,2.0,80.0,4.7,2.17018
17584,el Raval,4.67,4.5,40,69.0,365,4.5,1.0,1.0,4.25,12.0,1.0,0.7,1.0,4.5,10,4.67,70,2.0,57.0,12.0,41.37776,2.0,250,58.0,86.0,4.7,2.17154
17585,la Nova Esquerra de l'Eixample,4.5,4.55,33,7.0,365,4.45,1.0,0.0,4.23,22.0,1.0,1.0,0.3,4.18,13,4.64,62,1.0,1.0,22.0,41.38263299415811,1.0,242,1.0,44.0,4.41,2.152841521521278
17586,la Nova Esquerra de l'Eixample,4.7,4.69,42,16.0,365,4.62,3.0,0.0,4.38,13.0,1.0,2.0,0.0,4.08,12,4.77,72,3.0,2.0,13.0,41.38431,1.0,162,2.0,71.0,4.62,2.15269
17587,Sarrià,4.605955597800259,4.717400013580498,19,15.0,365,4.713566191446029,0.0,13.0,4.587361346819633,0.0,0.0,0.0,0.0,4.450359179793591,5,4.742934066680247,49,2.0,14.0,0.0,41.398071464845295,32.0,229,13.0,55.0,4.639845192829983,2.2
17588,el Raval,4.83,4.67,16,7.0,365,4.5,1.0,0.0,4.14,7.0,1.0,4.0,0.3,4.83,7,4.83,16,2.0,4.0,7.0,41.38030674379819,3.0,58,4.0,67.0,4.67,2.1723981946706767
17589,la Teixonera,4.605955597800259,4.717400013580498,0,3.0,332,4.713566191446029,2.2,3.0,4.587361346819633,0.0,1.5,0.0,0.0,4.450359179793591,0,4.742934066680247,0,3.0,3.0,0.0,41.42428,32.0,248,3.0,126.0,4.639845192829983,2.15109
17590,el Raval,4.78,4.72,38,3.0,365,4.56,0.0,0.0,4.56,18.0,1.0,2.0,0.3,4.56,12,4.8,38,2.0,2.0,18.0,41.37829226968882,2.0,137,2.0,83.0,4.5,2.168600791790521
17591,el Camp de l'Arpa del Clot,4.605955597800259,4.717400013580498,0,3.0,90,4.713566191446029,0.0,1.0,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,0,4.742934066680247,0,4.0,1.0,0.0,41.4075341,31.0,97,1.0,170.0,4.639845192829983,2.181600200000001
17592,el Camp d'en Grassot i Gràcia Nova,4.92,5.0,2,1.0,7,5.0,1.0,0.0,4.96,24.0,1.0,1.0,0.3,4.96,0,4.96,27,2.0,1.0,24.0,41.40485262073777,1.0,39,1.0,80.0,4.96,2.169434353709221
17593,la Vila de Gràcia,5.0,5.0,3,5.0,300,5.0,1.0,4.0,5.0,1.0,1.0,0.0,0.0,5.0,0,5.0,33,2.0,5.0,1.0,41.4009879,31.0,308,4.0,75.0,5.0,2.1617146
17594,Sant Martí de Provençals,4.8,4.8,45,19.0,365,5.0,1.0,0.0,4.6,5.0,1.0,0.7,1.0,4.4,19,4.8,45,2.0,16.0,5.0,41.4162068011015,2.0,45,15.0,71.0,4.6,2.1947820509991343
17595,"Sant Pere, Santa Caterina i la Ribera",4.92,5.0,16,2.0,1125,5.0,1.0,0.0,4.92,12.0,1.0,2.0,1.0,4.67,1,4.92,46,2.0,2.0,12.0,41.38698611342673,2.0,226,2.0,96.0,4.92,2.178029326448119
17596,la Barceloneta,4.605955597800259,4.717400013580498,30,1.0,150,4.713566191446029,0.0,1.0,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,0,4.742934066680247,60,2.0,1.0,0.0,41.3812278,31.0,93,1.0,49.0,4.639845192829983,2.1880396
17597,el Putxet i el Farró,4.7,4.8,10,16.0,1125,4.8,1.0,1.0,4.7,1.0,1.0,0.0,0.0,4.5,10,4.8,29,3.0,8.0,1.0,41.40649697547126,32.0,304,1.0,60.0,4.7,2.14584336004942
17598,la Barceloneta,4.605955597800259,4.717400013580498,44,106.0,345,4.713566191446029,2.0,6.7,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,14,4.742934066680247,74,2.0,54.0,0.0,41.380195465086274,32.0,164,52.0,128.0,4.639845192829983,2.190751856113676
17599,Sants,4.605955597800259,4.717400013580498,60,18.5,365,4.713566191446029,2.2,6.7,4.587361346819633,0.0,1.5,0.0,0.0,4.450359179793591,30,4.742934066680247,90,3.0,13.8,0.0,41.37677,2.0,176,13.1,133.4,4.639845192829983,2.1407
17600,el Poble Sec,5.0,4.8,12,100.0,365,4.5,3.0,21.0,4.5,10.0,3.0,0.0,2.0,4.3,8,4.8,42,5.0,36.0,10.0,41.372298910569576,5.0,53,21.0,178.0,4.9,2.157553161842792
17601,Sant Gervasi - Galvany,4.605955597800259,4.717400013580498,0,18.5,365,4.713566191446029,2.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.40082,31.0,124,13.1,128.0,4.639845192829983,2.13788
17602,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,0,18.5,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,21,1.0,13.8,0.0,41.39509705891056,31.0,201,13.1,29.0,4.639845192829983,2.170123884394765
17603,el Poblenou,4.69,4.85,33,5.0,365,4.69,2.0,2.0,4.77,13.0,2.0,0.0,2.0,4.38,7,4.85,63,5.0,2.0,13.0,41.40134,3.0,244,2.0,272.0,4.54,2.20074
17604,el Turó de la Peira,4.605955597800259,4.717400013580498,12,1.0,62,4.713566191446029,1.0,1.0,4.587361346819633,0.0,1.0,0.0,0.0,4.450359179793591,4,4.742934066680247,42,2.0,1.0,0.0,41.43213,31.0,253,1.0,44.0,4.639845192829983,2.16774
17605,"Sant Pere, Santa Caterina i la Ribera",4.7,4.5,55,61.0,365,4.8,0.0,36.0,4.7,2.0,3.0,0.0,1.0,4.5,25,4.8,85,6.0,40.0,2.0,41.38606,3.0,265,36.0,274.0,4.7,2.17746
17606,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,52,61.0,365,4.713566191446029,5.0,36.0,4.587361346819633,0.0,3.0,0.0,0.0,4.450359179793591,22,4.742934066680247,82,6.0,40.0,0.0,41.38628690472332,3.0,262,36.0,300.0,4.639845192829983,2.1756960173249733
17607,les Roquetes,4.7,4.8,50,4.0,365,4.8,3.0,3.0,4.7,2.0,3.0,0.0,2.0,4.5,20,4.8,80,6.0,3.0,2.0,41.4,1.0,80,3.0,130.0,4.7,2.172012019017291
17608,el Poble Sec,5.0,4.8,60,18.5,1125,5.0,5.0,6.7,5.0,3.0,3.0,0.0,0.0,4.33,30,5.0,90,6.0,13.8,3.0,41.37299,1.0,365,13.1,62.0,5.0,2.16487
17609,la Nova Esquerra de l'Eixample,4.86,5.0,17,21.0,365,4.71,1.0,13.0,4.71,7.0,1.0,0.0,1.0,4.43,4,4.71,37,2.0,13.0,7.0,41.38201,1.0,215,13.0,192.0,4.71,2.14966
17610,la Vila de Gràcia,5.0,5.0,0,5.0,365,5.0,0.0,3.0,5.0,1.0,2.0,0.0,0.0,5.0,0,5.0,0,4.0,3.0,1.0,41.40065619538153,32.0,169,3.0,104.0,5.0,2.155770615063199
17611,el Besòs i el Maresme,5.0,5.0,35,124.0,365,4.8,1.0,24.0,5.0,1.0,1.0,0.7,0.0,4.5,5,5.0,65,2.0,34.0,1.0,41.41509,22.0,245,34.0,150.0,5.0,2.20944
17612,el Fort Pienc,4.7,5.0,47,6.0,365,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,21,5.0,47,1.0,2.0,1.0,41.39863,1.0,195,2.0,62.0,5.0,2.18591
17613,el Clot,5.0,5.0,44,6.0,365,5.0,1.0,1.0,5.0,6.0,1.0,1.0,0.3,5.0,18,5.0,44,2.0,2.0,6.0,41.40940133427944,1.0,192,2.0,121.0,5.0,2.187683637601322
17614,la Dreta de l'Eixample,4.67,4.83,20,27.0,28,5.0,2.0,0.0,4.67,6.0,1.0,1.0,1.0,4.83,1,4.83,50,3.0,1.0,6.0,41.390256422451536,7.0,82,1.0,54.0,4.83,2.167043183154513
17615,Sant Gervasi - la Bonanova,4.605955597800259,4.717400013580498,54,2.0,320,4.713566191446029,2.0,1.0,4.587361346819633,0.0,2.0,0.0,0.0,4.450359179793591,26,4.742934066680247,83,2.0,2.0,0.0,41.4086016,31.0,354,1.0,88.0,4.639845192829983,2.1354619
17616,la Dreta de l'Eixample,4.7,4.8,0,18.5,32,4.8,2.0,6.7,4.7,3.0,3.0,0.0,1.0,4.5,0,4.67,0,6.0,78.0,3.0,41.39147388114209,3.0,1,74.0,128.0,4.7,2.1622270682909988
17617,la Vila de Gràcia,4.8,4.8,45,2.0,365,4.8,1.0,0.0,4.4,5.0,1.0,1.0,2.0,4.6,20,5.0,75,2.0,1.0,5.0,41.39768,4.0,166,1.0,300.0,4.8,2.15649
17618,la Barceloneta,4.64,4.5,45,25.0,31,4.5,2.0,0.0,4.57,14.0,1.0,0.7,0.3,4.29,17,4.86,75,2.0,8.0,14.0,41.37743,2.0,350,8.0,68.0,4.64,2.18926
17619,el Poblenou,4.605955597800259,4.717400013580498,60,5.0,730,4.713566191446029,2.0,4.0,4.587361346819633,0.0,1.5,0.0,0.0,4.450359179793591,30,4.742934066680247,90,6.0,5.0,0.0,41.39784968014486,31.0,365,4.0,128.0,4.639845192829983,2.205697707259538
17620,la Barceloneta,4.75,4.92,39,25.0,31,5.0,2.0,0.0,4.75,12.0,1.0,0.7,0.3,4.33,15,5.0,39,2.0,8.0,12.0,41.37779425768172,1.0,39,8.0,77.0,4.83,2.189369873267383
17621,la Dreta de l'Eixample,4.605955597800259,4.717400013580498,36,18.5,330,4.713566191446029,3.0,6.7,4.587361346819633,0.0,3.0,0.0,0.0,4.450359179793591,6,4.742934066680247,66,5.0,13.8,0.0,41.40029,31.0,306,13.1,146.0,4.639845192829983,2.16892
17622,el Poble Sec,5.0,5.0,5,33.0,365,5.0,2.0,1.0,5.0,1.0,1.0,3.0,0.0,5.0,5,5.0,5,2.0,26.0,1.0,41.37283,31.0,5,4.0,128.0,5.0,2.16064
17623,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,1.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.38903003560693,33.0,160,13.1,36.0,4.639845192829983,2.180389357302537
17624,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,0.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.38673,33.0,153,13.1,29.0,4.639845192829983,2.18167
17625,la Sagrada Família,4.605955597800259,4.717400013580498,48,2.0,333,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,1.0,0.0,4.450359179793591,18,4.742934066680247,78,2.0,1.0,0.0,41.40583663419697,3.0,168,1.0,71.0,4.639845192829983,2.181504964828491
17626,la Marina de Port,5.0,5.0,24,11.0,365,5.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,4.0,0,5.0,54,4.0,11.0,1.0,41.36498,31.0,329,6.0,98.0,4.7,2.13948
17627,la Dreta de l'Eixample,4.77,4.77,10,101.0,1125,4.77,5.0,6.7,4.92,13.0,3.0,0.7,0.3,4.85,0,5.0,16,6.0,78.0,13.0,41.39573,1.0,254,72.0,133.4,4.77,2.16176
17628,Sant Antoni,4.7,4.8,8,18.5,329,5.0,2.0,6.7,5.0,1.0,1.0,0.0,0.0,4.0,0,4.8,38,3.0,13.8,1.0,41.38033,31.0,278,13.1,132.0,5.0,2.16276
17629,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,1,18.5,360,4.713566191446029,2.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,1,4.742934066680247,1,1.0,13.8,0.0,41.38690800914346,33.0,90,13.1,128.0,4.639845192829983,2.1816419894520567
17630,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,1.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,4,1.0,13.8,0.0,41.38872,33.0,185,13.1,30.0,4.639845192829983,2.18122
17631,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,1.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.38704,33.0,123,13.1,38.0,4.639845192829983,2.17969
17632,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,0,18.5,360,4.713566191446029,2.0,9.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,0,4.742934066680247,0,1.0,13.8,0.0,41.38868,33.0,0,13.1,128.0,4.639845192829983,2.17975
17633,Sant Gervasi - Galvany,4.605955597800259,4.717400013580498,27,46.0,365,4.713566191446029,0.0,3.0,4.587361346819633,0.0,1.0,0.7,0.0,4.450359179793591,8,4.742934066680247,57,1.0,30.0,0.0,41.40215,31.0,237,15.0,35.0,4.639845192829983,2.14236
17634,Diagonal Mar i el Front Marítim del Poblenou,4.93,4.87,28,2.0,365,4.93,0.0,0.0,4.93,15.0,1.0,1.0,0.3,4.8,8,4.87,48,1.0,1.0,15.0,41.40752741998168,31.0,48,1.0,51.0,4.87,2.2
17635,la Verneda i la Pau,5.0,4.88,37,7.0,365,4.88,0.0,0.0,4.88,8.0,1.0,2.0,0.0,4.75,7,4.88,67,1.0,2.0,8.0,41.41835,2.0,247,2.0,52.0,4.75,2.20482
17636,"Sant Pere, Santa Caterina i la Ribera",4.7,4.8,54,32.0,365,4.8,5.0,25.0,4.7,1.0,3.0,0.0,0.0,4.5,24,4.8,84,6.0,29.0,1.0,41.38811,1.0,110,25.0,258.0,4.7,2.17565
17637,Baró de Viver,5.0,4.5,47,19.0,365,4.5,1.0,0.0,5.0,2.0,1.0,0.7,0.0,4.0,21,4.8,47,2.0,16.0,2.0,41.4,2.0,47,15.0,80.0,4.7,2.199787605428316
17638,el Poble Sec,4.75,4.88,5,2.0,365,4.94,1.0,1.0,4.69,16.0,1.0,0.0,2.0,4.75,5,4.81,6,1.0,1.0,16.0,41.37365239673265,4.0,6,1.0,97.0,4.75,2.1592444634711123
17639,Sant Gervasi - Galvany,4.7,5.0,0,46.0,365,5.0,1.0,3.0,5.0,1.0,1.0,0.7,0.0,5.0,0,5.0,20,1.0,30.0,1.0,41.40211,31.0,200,15.0,31.0,5.0,2.1427
17640,el Raval,4.7,4.8,13,3.0,365,5.0,1.0,2.0,4.7,4.0,1.0,0.0,2.0,4.5,6,4.8,13,1.0,3.0,4.0,41.38004,32.0,77,2.0,99.0,4.7,2.16539
17641,el Barri Gòtic,4.7,4.8,0,14.0,365,5.0,1.0,0.0,4.33,3.0,1.0,0.7,0.3,4.33,0,4.8,0,2.0,10.0,3.0,41.381297065555806,32.0,172,9.0,82.0,4.67,2.17899201532928
17642,Sant Antoni,4.7,4.8,56,8.0,365,4.8,1.0,0.0,4.7,5.0,1.0,4.0,1.0,4.5,26,4.8,86,2.0,4.0,5.0,41.377601938195184,3.0,266,4.0,56.0,4.7,2.152936372555774
17643,"Sant Pere, Santa Caterina i la Ribera",5.0,5.0,44,32.0,365,4.8,5.0,25.0,4.7,3.0,3.0,0.0,0.0,4.0,14,4.8,74,6.0,29.0,3.0,41.38802573454259,1.0,100,25.0,320.0,4.67,2.1755218194340964
17644,Baró de Viver,4.7,5.0,25,19.0,365,5.0,1.0,0.0,4.7,1.0,1.0,0.7,0.0,4.0,25,5.0,25,1.0,16.0,1.0,41.4,2.0,25,15.0,59.0,5.0,2.1996002671142096
17645,"Sant Pere, Santa Caterina i la Ribera",4.605955597800259,4.717400013580498,53,32.0,365,4.713566191446029,5.0,25.0,4.587361346819633,0.0,3.0,0.0,0.0,4.450359179793591,23,4.742934066680247,83,6.0,29.0,0.0,41.38782,1.0,109,25.0,297.0,4.639845192829983,2.17534
17646,la Sagrada Família,4.605955597800259,4.717400013580498,0,5.0,365,4.713566191446029,1.0,0.0,4.587361346819633,0.0,1.0,5.0,0.0,4.450359179793591,0,4.742934066680247,0,2.0,5.0,0.0,41.40202145665483,1.0,65,5.0,133.4,4.639845192829983,2.172178588807583
17647,la Sagrada Família,5.0,5.0,1,5.0,365,5.0,2.0,0.0,5.0,3.0,1.0,5.0,1.0,5.0,1,5.0,7,2.0,5.0,3.0,41.40169038799817,1.0,161,5.0,104.0,5.0,2.171479930288537
17648,"Sant Pere, Santa Caterina i la Ribera",4.7,5.0,50,32.0,365,4.8,2.0,25.0,4.7,2.0,1.0,0.0,0.0,4.5,21,4.8,80,3.0,29.0,2.0,41.38579,1.0,107,25.0,278.0,4.5,2.17712
17649,la Sagrada Família,4.605955597800259,4.717400013580498,6,63.0,365,4.713566191446029,3.0,16.0,4.587361346819633,0.0,3.0,0.7,0.0,4.450359179793591,0,4.742934066680247,36,5.0,42.0,0.0,41.40278833260839,31.0,216,22.0,58.0,4.639845192829983,2.1814283295759656
17650,la Nova Esquerra de l'Eixample,4.605955597800259,4.717400013580498,0,18.5,330,4.713566191446029,3.0,6.7,4.587361346819633,0.0,3.0,0.0,0.0,4.450359179793591,0,4.742934066680247,0,6.0,13.8,0.0,41.38936323166763,31.0,122,13.1,158.0,4.639845192829983,2.148115870649132
17651,la Barceloneta,4.7,4.8,30,6.0,365,4.8,3.0,0.0,4.7,5.0,1.0,3.0,0.0,4.0,7,4.8,60,4.0,3.0,5.0,41.379343503250176,3.0,240,3.0,91.0,4.7,2.190532288878146
17652,la Barceloneta,4.7,4.8,35,6.0,365,4.8,1.0,0.0,4.7,8.0,1.0,3.0,1.0,4.5,6,4.5,65,2.0,3.0,8.0,41.37934958246528,3.0,245,3.0,89.0,4.7,2.1894539340208063
17653,la Barceloneta,4.45,4.8,31,6.0,365,4.64,1.0,0.0,4.7,11.0,1.0,3.0,2.0,4.5,8,4.91,61,2.0,3.0,11.0,41.377960944674726,3.0,241,3.0,92.0,4.45,2.188994347425407
17654,Diagonal Mar i el Front Marítim del Poblenou,5.0,5.0,37,4.0,365,5.0,2.0,0.0,5.0,2.0,1.0,4.0,1.0,5.0,16,5.0,65,3.0,4.0,2.0,41.411699,1.0,89,4.0,204.0,5.0,2.2
17655,Sant Antoni,4.7,4.8,53,8.0,365,4.6,2.0,0.0,4.2,5.0,1.0,4.0,2.0,4.0,23,4.6,83,3.0,4.0,5.0,41.37697,3.0,263,4.0,77.0,4.7,2.15332
17656,Sant Antoni,4.7,4.8,55,8.0,365,4.8,1.0,0.0,4.7,7.0,1.0,4.0,2.0,4.5,25,4.8,85,3.0,4.0,7.0,41.37729,3.0,265,4.0,55.0,4.7,2.15273
