,review_scores_accuracy,review_scores_accuracy,review_scores_location,host_total_listings_count,number_of_reviews,latitude,longitude,availability_60,availability_30,bedrooms,calculated_host_listings_count_entire_homes,accommodates,calculated_host_listings_count_private_rooms,minimum_nights,number_of_reviews_l30d,availability_90,beds,review_scores_rating,maximum_nights,review_scores_cleanliness,review_scores_communication,host_listings_count,review_scores_checkin,availability_365,number_of_reviews_ltm,review_scores_value,calculated_host_listings_count
53,4.79,4.79,4.93,2.0,106.0,19.43319,-99.14665,0,0,1.5696453569762017,0.0,1.0,1.0,1.6,0.0,0,1.9678361335646877,4.78,10,4.85,4.86,1.0,4.86,0,0.0,4.78,1.0
54,4.82,4.82,4.76,2.0,27.0,19.34034,-99.18345,19,10,1.0,0.0,2.0,2.0,2.0,0.0,49,1.0,4.81,1125,4.83,4.93,2.0,4.87,266,22.0,4.84,2.0
55,4.86,4.86,4.89,2.0,27.0,19.41444,-99.15734,0,0,2.0,1.0,2.0,1.0,2.0,0.0,0,1.9678361335646877,4.84,31,4.81,4.91,2.0,4.89,0,29.0,4.77,2.0
56,4.88,4.88,4.9,5.0,17.0,19.4,-99.17757,58,28,1.0,0.0,2.0,5.0,3.0,0.0,87,1.0,4.82,1125,4.76,5.0,5.0,4.94,87,0.0,4.75,5.0
57,4.793877426390403,4.793877426390403,4.845981243184297,10.0,0.0,19.34549,-99.15872,58,28,1.0,0.0,2.0,2.0,2.0,0.0,88,1.0,4.757116810608044,1125,4.761881788440568,4.829862595419848,2.0,4.843370556161396,363,0.0,4.725268047982552,2.0
58,4.793877426390403,4.793877426390403,4.845981243184297,1.0,0.0,19.40639,-99.16686,0,0,1.5696453569762017,0.0,1.0,1.0,1.6,0.0,0,1.9678361335646877,4.757116810608044,180,4.761881788440568,4.829862595419848,1.0,4.843370556161396,0,0.0,4.725268047982552,1.0
59,5.0,5.0,4.67,2.0,3.0,19.35783,-99.12273,0,0,1.5696453569762017,0.0,2.0,2.0,1.6,0.0,0,1.9678361335646877,5.0,30,5.0,5.0,2.0,5.0,0,0.0,4.67,2.0
60,4.97,4.97,4.97,5.0,66.0,19.37845,-99.17221,14,4,2.0,2.0,5.0,0.0,1.0,3.0,30,3.0,4.94,1125,4.94,4.95,3.0,5.0,298,10.0,4.89,2.0
61,4.89,4.89,4.91,7.0,27.0,19.4161,-99.1661,27,18,1.0,3.0,2.0,0.0,3.0,0.0,50,1.0,4.87,1125,4.9,4.98,7.0,4.97,139,24.0,4.84,3.0
62,5.0,5.0,4.93,9.0,28.0,19.34735,-99.19016,31,1,1.0,1.0,2.0,4.0,1.0,0.0,61,1.9678361335646877,4.96,1125,5.0,4.96,8.0,5.0,336,1.0,4.93,7.0
63,4.89,4.89,4.94,7.0,27.0,19.41501,-99.16565,30,23,1.0,3.0,3.0,0.0,3.0,0.0,48,2.0,4.91,1125,4.9,4.99,7.0,4.99,137,21.0,4.87,3.0
64,4.91,4.91,4.91,3.0,70.0,19.43149,-99.165543,20,0,1.0,3.0,3.0,0.0,1.0,0.0,50,1.0,4.84,1125,4.96,4.8,3.0,4.9,325,14.0,4.83,3.0
65,4.793877426390403,4.793877426390403,4.845981243184297,1.0,0.0,19.41095,-99.18215,0,0,1.5696453569762017,0.0,1.0,1.0,1.0,0.0,0,1.9678361335646877,4.757116810608044,1125,4.761881788440568,4.829862595419848,1.0,4.843370556161396,0,0.0,4.725268047982552,1.0
66,4.88,4.88,4.98,6.0,27.0,19.41965,-99.15814,29,15,1.0,1.0,2.0,0.0,1.0,4.0,49,1.0,4.9,730,4.93,4.92,2.0,4.87,309,50.0,4.82,1.0
67,4.93,4.93,4.95,3.0,44.0,19.42978,-99.17076,42,25,2.0,1.0,4.0,0.0,3.0,0.0,66,2.0,4.89,1125,4.93,4.84,3.0,4.73,293,8.0,4.91,1.0
68,4.58,4.58,4.98,12.0,53.0,19.4075,-99.17561,47,22,1.4,3.0,2.9,3.0,1.0,0.0,77,1.6,4.7,30,4.74,4.85,10.0,4.79,352,0.0,4.49,10.0
69,4.71,4.71,4.95,3.0,21.0,19.3424,-99.15419,0,0,1.0,0.0,1.0,1.0,1.6,0.0,0,1.0,4.71,1125,4.9,4.81,2.0,4.81,267,3.0,4.76,1.0
70,4.85,4.85,5.0,8.0,33.0,19.41068,-99.17732,23,2,1.0,6.0,2.0,0.0,1.6,0.0,52,1.0,4.79,180,4.85,4.79,6.0,4.75,52,8.0,4.59,6.0
71,4.96,4.96,4.96,3.0,49.0,19.41017,-99.17886,59,29,1.0,0.0,2.0,1.0,3.0,0.0,88,2.0,4.84,15,4.94,4.89,1.0,4.87,88,0.0,4.8,1.0
72,4.93,4.93,4.97,3.0,27.0,19.40835638269101,-99.17329884322169,29,11,1.0,1.0,2.0,0.0,1.0,1.0,42,1.0,4.9,120,4.94,4.89,1.0,4.93,248,13.0,4.87,1.0
73,5.0,5.0,5.0,3.0,2.0,19.33132,-99.2,0,0,1.5696453569762017,0.0,1.0,3.0,3.0,0.0,0,1.9678361335646877,5.0,90,5.0,5.0,3.0,5.0,0,0.0,5.0,3.0
74,4.94,4.94,4.97,9.0,36.0,19.34923,-99.19307,49,19,1.0,1.0,2.0,4.0,1.0,0.0,79,1.0,4.97,90,4.94,4.97,8.0,5.0,354,2.0,4.89,7.0
75,4.84,4.84,4.96,9.0,58.0,19.3486,-99.19296,47,17,1.0,1.0,2.0,4.0,1.0,0.0,77,1.9678361335646877,4.88,1125,4.97,4.93,8.0,4.89,352,8.0,4.86,7.0
76,4.64,4.64,4.91,7.3,27.0,19.43432,-99.14581,31,14,2.0,9.0,6.0,0.0,2.0,2.0,56,1.6,4.56,1125,4.64,4.73,6.2,4.68,146,48.0,4.62,9.0
77,4.57,4.57,5.0,6.0,9.0,19.41638,-99.16868,28,5,2.0,1.0,2.0,0.0,1.0,0.0,58,2.0,4.89,365,4.86,4.71,2.0,4.86,333,1.0,5.0,1.0
78,4.91,4.91,4.88,4.0,95.0,19.38089,-99.17245,59,29,2.0,1.0,4.0,0.0,1.6,0.0,89,3.0,4.82,1125,4.9,4.98,1.0,4.94,364,0.0,4.85,1.0
79,4.85,4.85,4.78,16.0,27.0,19.43122,-99.15562,2,0,2.0,15.0,4.0,1.0,2.0,0.0,2,2.0,4.81,365,4.79,4.92,16.0,4.87,253,4.0,4.82,16.0
80,5.0,5.0,5.0,1.0,3.0,19.36823,-99.18607,0,0,2.0,1.0,4.0,0.0,1.6,0.0,0,1.6,5.0,1125,5.0,5.0,1.0,5.0,208,0.0,5.0,1.0
81,4.81,4.81,4.85,7.3,119.0,19.42804,-99.16463,53,28,1.0,2.5,4.0,0.0,2.0,0.0,83,2.0,4.69,1125,4.9,4.93,6.2,4.93,83,10.0,4.7,4.9
82,4.63,4.63,4.87,7.3,125.0,19.42675,-99.1613,15,0,1.0,2.5,2.0,4.0,1.0,2.0,45,2.0,4.44,1125,4.66,4.69,6.2,4.83,320,34.0,4.46,4.9
83,5.0,5.0,4.91,3.0,35.0,19.43898,-99.16142,0,0,1.0,2.0,2.0,1.0,1.0,0.0,0,2.0,4.94,365,4.88,4.97,3.0,4.94,268,0.0,4.91,3.0
